Year,County,AQI Median
1981-12-31,Alameda,43.0
1981-12-31,Butte,33.0
1981-12-31,Colusa,35.0
1981-12-31,Contra Costa,44.0
1981-12-31,El Dorado,71.0
1981-12-31,Fresno,79.0
1981-12-31,Glenn,32.0
1981-12-31,Imperial,46.0
1981-12-31,Kern,74.0
1981-12-31,Kings,34.0
1981-12-31,Lake,28.0
1981-12-31,Los Angeles,176.0
1981-12-31,Marin,38.0
1981-12-31,Mendocino,19.0
1981-12-31,Mono,11.0
1981-12-31,Monterey,37.0
1981-12-31,Orange,100.0
1981-12-31,Placer,40.0
1981-12-31,Riverside,136.0
1981-12-31,Sacramento,58.0
1981-12-31,San Benito,37.0
1981-12-31,San Bernardino,151.0
1981-12-31,San Diego,116.0
1981-12-31,San Francisco,38.0
1981-12-31,San Joaquin,42.0
1981-12-31,San Luis Obispo,42.0
1981-12-31,San Mateo,28.0
1981-12-31,Santa Barbara,58.0
1981-12-31,Santa Clara,44.0
1981-12-31,Santa Cruz,35.0
1981-12-31,Shasta,35.0
1981-12-31,Siskiyou,28.0
1981-12-31,Solano,38.0
1981-12-31,Sonoma,38.0
1981-12-31,Stanislaus,54.0
1981-12-31,Sutter,26.0
1981-12-31,Tulare,57.0
1981-12-31,Ventura,84.0
1981-12-31,Yolo,37.0
1982-12-31,Alameda,39.0
1982-12-31,Butte,38.0
1982-12-31,Colusa,43.0
1982-12-31,Contra Costa,46.0
1982-12-31,El Dorado,67.0
1982-12-31,Fresno,77.0
1982-12-31,Glenn,47.0
1982-12-31,Imperial,37.0
1982-12-31,Kern,68.0
1982-12-31,Kings,42.0
1982-12-31,Lake,32.0
1982-12-31,Los Angeles,151.0
1982-12-31,Marin,38.0
1982-12-31,Mendocino,28.0
1982-12-31,Mono,34.0
1982-12-31,Monterey,34.0
1982-12-31,Orange,79.0
1982-12-31,Placer,47.0
1982-12-31,Riverside,103.0
1982-12-31,Sacramento,57.0
1982-12-31,San Benito,37.0
1982-12-31,San Bernardino,108.0
1982-12-31,San Diego,90.0
1982-12-31,San Francisco,39.0
1982-12-31,San Joaquin,47.0
1982-12-31,San Luis Obispo,39.0
1982-12-31,San Mateo,28.0
1982-12-31,Santa Barbara,57.0
1982-12-31,Santa Clara,44.0
1982-12-31,Santa Cruz,34.0
1982-12-31,Shasta,37.0
1982-12-31,Siskiyou,31.0
1982-12-31,Solano,38.0
1982-12-31,Sonoma,35.0
1982-12-31,Stanislaus,47.0
1982-12-31,Sutter,42.0
1982-12-31,Tulare,57.0
1982-12-31,Ventura,93.0
1982-12-31,Yolo,35.0
1983-12-31,Alameda,38.0
1983-12-31,Butte,34.0
1983-12-31,Colusa,44.0
1983-12-31,Contra Costa,44.0
1983-12-31,El Dorado,62.0
1983-12-31,Fresno,61.0
1983-12-31,Glenn,44.0
1983-12-31,Imperial,34.0
1983-12-31,Kern,61.0
1983-12-31,Kings,48.0
1983-12-31,Lake,31.0
1983-12-31,Los Angeles,143.0
1983-12-31,Marin,38.0
1983-12-31,Mendocino,19.0
1983-12-31,Mono,37.0
1983-12-31,Monterey,37.0
1983-12-31,Orange,87.0
1983-12-31,Placer,54.0
1983-12-31,Riverside,100.0
1983-12-31,Sacramento,49.0
1983-12-31,San Benito,35.0
1983-12-31,San Bernardino,108.0
1983-12-31,San Diego,90.0
1983-12-31,San Francisco,41.0
1983-12-31,San Joaquin,38.0
1983-12-31,San Luis Obispo,38.0
1983-12-31,San Mateo,30.0
1983-12-31,Santa Barbara,50.0
1983-12-31,Santa Clara,44.0
1983-12-31,Santa Cruz,29.5
1983-12-31,Shasta,44.0
1983-12-31,Siskiyou,28.0
1983-12-31,Solano,34.0
1983-12-31,Sonoma,30.0
1983-12-31,Stanislaus,47.0
1983-12-31,Sutter,56.0
1983-12-31,Tulare,49.0
1983-12-31,Ventura,71.0
1983-12-31,Yolo,33.0
1984-12-31,Alameda,42.0
1984-12-31,Butte,38.0
1984-12-31,Colusa,67.0
1984-12-31,Contra Costa,43.0
1984-12-31,El Dorado,66.0
1984-12-31,Fresno,87.0
1984-12-31,Glenn,48.0
1984-12-31,Imperial,23.0
1984-12-31,Kern,61.0
1984-12-31,Kings,43.0
1984-12-31,Lake,31.0
1984-12-31,Los Angeles,154.0
1984-12-31,Marin,38.0
1984-12-31,Mendocino,24.5
1984-12-31,Mono,42.0
1984-12-31,Monterey,37.0
1984-12-31,Orange,89.0
1984-12-31,Placer,44.0
1984-12-31,Riverside,110.0
1984-12-31,Sacramento,57.0
1984-12-31,San Benito,35.0
1984-12-31,San Bernardino,136.0
1984-12-31,San Diego,101.0
1984-12-31,San Francisco,45.0
1984-12-31,San Joaquin,47.0
1984-12-31,San Luis Obispo,38.0
1984-12-31,San Mateo,33.0
1984-12-31,Santa Barbara,57.0
1984-12-31,Santa Clara,45.0
1984-12-31,Santa Cruz,31.0
1984-12-31,Shasta,35.0
1984-12-31,Siskiyou,30.0
1984-12-31,Solano,38.0
1984-12-31,Sonoma,35.0
1984-12-31,Stanislaus,47.0
1984-12-31,Sutter,67.0
1984-12-31,Tulare,57.0
1984-12-31,Ventura,85.5
1984-12-31,Yolo,35.0
1985-12-31,Alameda,47.0
1985-12-31,Butte,42.0
1985-12-31,Colusa,44.0
1985-12-31,Contra Costa,46.0
1985-12-31,El Dorado,61.0
1985-12-31,Fresno,100.0
1985-12-31,Glenn,46.0
1985-12-31,Imperial,46.0
1985-12-31,Kern,89.0
1985-12-31,Kings,44.0
1985-12-31,Lake,29.0
1985-12-31,Los Angeles,150.0
1985-12-31,Marin,38.0
1985-12-31,Mendocino,29.0
1985-12-31,Mono,40.0
1985-12-31,Monterey,38.0
1985-12-31,Orange,79.0
1985-12-31,Placer,43.0
1985-12-31,Riverside,108.0
1985-12-31,Sacramento,58.0
1985-12-31,San Benito,37.0
1985-12-31,San Bernardino,122.0
1985-12-31,San Diego,103.0
1985-12-31,San Francisco,45.0
1985-12-31,San Joaquin,44.0
1985-12-31,San Luis Obispo,43.0
1985-12-31,San Mateo,34.0
1985-12-31,Santa Barbara,57.0
1985-12-31,Santa Clara,45.0
1985-12-31,Santa Cruz,33.0
1985-12-31,Shasta,35.0
1985-12-31,Siskiyou,28.0
1985-12-31,Solano,38.0
1985-12-31,Sonoma,37.0
1985-12-31,Stanislaus,49.0
1985-12-31,Sutter,49.0
1985-12-31,Tulare,74.0
1985-12-31,Ventura,87.0
1985-12-31,Yolo,37.0
1986-12-31,Alameda,44.0
1986-12-31,Butte,41.0
1986-12-31,Colusa,49.0
1986-12-31,Contra Costa,47.0
1986-12-31,El Dorado,61.0
1986-12-31,Fresno,93.0
1986-12-31,Glenn,49.0
1986-12-31,Imperial,37.0
1986-12-31,Kern,89.0
1986-12-31,Kings,39.0
1986-12-31,Lake,29.0
1986-12-31,Los Angeles,156.0
1986-12-31,Marin,38.0
1986-12-31,Mendocino,32.0
1986-12-31,Mono,47.0
1986-12-31,Monterey,37.0
1986-12-31,Orange,89.0
1986-12-31,Placer,44.0
1986-12-31,Riverside,103.0
1986-12-31,Sacramento,57.0
1986-12-31,San Benito,37.0
1986-12-31,San Bernardino,133.0
1986-12-31,San Diego,101.0
1986-12-31,San Francisco,39.0
1986-12-31,San Joaquin,47.0
1986-12-31,San Luis Obispo,40.0
1986-12-31,San Mateo,38.0
1986-12-31,Santa Barbara,71.0
1986-12-31,Santa Clara,46.0
1986-12-31,Santa Cruz,28.0
1986-12-31,Shasta,44.0
1986-12-31,Siskiyou,37.0
1986-12-31,Solano,38.0
1986-12-31,Sonoma,33.0
1986-12-31,Stanislaus,47.0
1986-12-31,Sutter,48.0
1986-12-31,Tulare,79.0
1986-12-31,Ventura,101.0
1986-12-31,Yolo,39.0
1987-12-31,Alameda,40.0
1987-12-31,Butte,47.0
1987-12-31,Colusa,67.0
1987-12-31,Contra Costa,47.0
1987-12-31,El Dorado,63.0
1987-12-31,Fresno,95.0
1987-12-31,Glenn,60.0
1987-12-31,Imperial,37.0
1987-12-31,Kern,79.0
1987-12-31,Kings,46.5
1987-12-31,Lake,30.0
1987-12-31,Los Angeles,150.0
1987-12-31,Marin,38.0
1987-12-31,Mendocino,33.0
1987-12-31,Mono,46.0
1987-12-31,Monterey,37.0
1987-12-31,Orange,79.0
1987-12-31,Placer,48.0
1987-12-31,Riverside,105.0
1987-12-31,Sacramento,67.0
1987-12-31,San Benito,47.0
1987-12-31,San Bernardino,122.0
1987-12-31,San Diego,100.0
1987-12-31,San Francisco,38.0
1987-12-31,San Joaquin,54.0
1987-12-31,San Luis Obispo,40.0
1987-12-31,San Mateo,37.0
1987-12-31,Santa Barbara,64.0
1987-12-31,Santa Clara,46.0
1987-12-31,Santa Cruz,32.0
1987-12-31,Shasta,38.0
1987-12-31,Siskiyou,42.0
1987-12-31,Solano,42.0
1987-12-31,Sonoma,37.0
1987-12-31,Stanislaus,61.0
1987-12-31,Sutter,48.0
1987-12-31,Tulare,87.0
1987-12-31,Ventura,87.0
1987-12-31,Yolo,43.0
1988-12-31,Alameda,47.0
1988-12-31,Butte,44.0
1988-12-31,Colusa,25.0
1988-12-31,Contra Costa,47.0
1988-12-31,El Dorado,58.5
1988-12-31,Fresno,100.0
1988-12-31,Glenn,30.0
1988-12-31,Imperial,44.0
1988-12-31,Kern,101.0
1988-12-31,Kings,51.0
1988-12-31,Lake,26.0
1988-12-31,Los Angeles,167.0
1988-12-31,Marin,28.0
1988-12-31,Mendocino,31.0
1988-12-31,Mono,46.0
1988-12-31,Monterey,30.0
1988-12-31,Orange,89.0
1988-12-31,Placer,51.0
1988-12-31,Riverside,119.0
1988-12-31,Sacramento,68.0
1988-12-31,San Benito,44.0
1988-12-31,San Bernardino,126.0
1988-12-31,San Diego,113.0
1988-12-31,San Francisco,38.0
1988-12-31,San Joaquin,48.0
1988-12-31,San Luis Obispo,46.0
1988-12-31,San Mateo,38.0
1988-12-31,Santa Barbara,74.5
1988-12-31,Santa Clara,46.0
1988-12-31,Santa Cruz,33.0
1988-12-31,Shasta,38.0
1988-12-31,Siskiyou,34.5
1988-12-31,Solano,43.0
1988-12-31,Sonoma,37.0
1988-12-31,Stanislaus,58.0
1988-12-31,Sutter,44.0
1988-12-31,Tulare,87.0
1988-12-31,Ventura,93.0
1988-12-31,Yolo,39.0
1989-12-31,Alameda,44.0
1989-12-31,Butte,44.0
1989-12-31,Colusa,27.0
1989-12-31,Contra Costa,47.0
1989-12-31,El Dorado,64.0
1989-12-31,Fresno,100.0
1989-12-31,Glenn,23.0
1989-12-31,Imperial,38.0
1989-12-31,Kern,100.0
1989-12-31,Kings,49.0
1989-12-31,Lake,28.0
1989-12-31,Los Angeles,150.0
1989-12-31,Marin,38.0
1989-12-31,Mendocino,26.0
1989-12-31,Mono,37.0
1989-12-31,Monterey,38.0
1989-12-31,Orange,87.0
1989-12-31,Placer,48.0
1989-12-31,Riverside,126.0
1989-12-31,Sacramento,77.0
1989-12-31,San Benito,44.0
1989-12-31,San Bernardino,143.0
1989-12-31,San Diego,110.0
1989-12-31,San Francisco,38.0
1989-12-31,San Joaquin,47.0
1989-12-31,San Luis Obispo,47.0
1989-12-31,San Mateo,38.0
1989-12-31,Santa Barbara,76.0
1989-12-31,Santa Clara,49.0
1989-12-31,Santa Cruz,34.0
1989-12-31,Shasta,40.0
1989-12-31,Siskiyou,35.0
1989-12-31,Solano,39.0
1989-12-31,Sonoma,35.0
1989-12-31,Stanislaus,61.0
1989-12-31,Sutter,43.0
1989-12-31,Tulare,87.0
1989-12-31,Ventura,84.0
1989-12-31,Yolo,37.0
1990-12-31,Alameda,38.0
1990-12-31,Butte,40.0
1990-12-31,Colusa,31.0
1990-12-31,Contra Costa,44.0
1990-12-31,El Dorado,51.0
1990-12-31,Fresno,84.0
1990-12-31,Glenn,33.0
1990-12-31,Imperial,38.0
1990-12-31,Kern,100.0
1990-12-31,Kings,46.0
1990-12-31,Lake,27.0
1990-12-31,Los Angeles,116.0
1990-12-31,Marin,32.0
1990-12-31,Mendocino,19.0
1990-12-31,Mono,45.0
1990-12-31,Monterey,39.0
1990-12-31,Orange,79.0
1990-12-31,Placer,51.0
1990-12-31,Riverside,103.0
1990-12-31,Sacramento,67.0
1990-12-31,San Benito,44.0
1990-12-31,San Bernardino,119.0
1990-12-31,San Diego,103.0
1990-12-31,San Francisco,32.0
1990-12-31,San Joaquin,47.0
1990-12-31,San Luis Obispo,44.0
1990-12-31,San Mateo,38.0
1990-12-31,Santa Barbara,68.0
1990-12-31,Santa Clara,47.0
1990-12-31,Santa Cruz,32.0
1990-12-31,Shasta,43.0
1990-12-31,Siskiyou,32.0
1990-12-31,Solano,38.0
1990-12-31,Sonoma,35.0
1990-12-31,Stanislaus,57.0
1990-12-31,Sutter,37.0
1990-12-31,Tulare,84.0
1990-12-31,Ventura,74.0
1990-12-31,Yolo,40.0
1991-12-31,Alameda,40.0
1991-12-31,Butte,44.0
1991-12-31,Colusa,34.5
1991-12-31,Contra Costa,44.0
1991-12-31,El Dorado,51.0
1991-12-31,Fresno,79.0
1991-12-31,Glenn,37.0
1991-12-31,Imperial,42.0
1991-12-31,Kern,89.0
1991-12-31,Kings,48.0
1991-12-31,Lake,34.0
1991-12-31,Los Angeles,116.0
1991-12-31,Marin,38.0
1991-12-31,Mendocino,22.0
1991-12-31,Mono,35.0
1991-12-31,Monterey,44.0
1991-12-31,Orange,74.0
1991-12-31,Placer,44.0
1991-12-31,Riverside,105.0
1991-12-31,Sacramento,71.0
1991-12-31,San Benito,45.0
1991-12-31,San Bernardino,116.0
1991-12-31,San Diego,89.0
1991-12-31,San Francisco,38.0
1991-12-31,San Joaquin,48.0
1991-12-31,San Luis Obispo,46.0
1991-12-31,San Mateo,38.0
1991-12-31,Santa Barbara,71.0
1991-12-31,Santa Clara,47.0
1991-12-31,Santa Cruz,34.0
1991-12-31,Shasta,43.0
1991-12-31,Siskiyou,19.0
1991-12-31,Solano,38.0
1991-12-31,Sonoma,37.0
1991-12-31,Stanislaus,51.0
1991-12-31,Sutter,40.0
1991-12-31,Tulare,70.0
1991-12-31,Ventura,89.0
1991-12-31,Yolo,39.0
1992-12-31,Alameda,38.0
1992-12-31,Butte,38.0
1992-12-31,Colusa,37.0
1992-12-31,Contra Costa,40.0
1992-12-31,El Dorado,59.0
1992-12-31,Fresno,68.0
1992-12-31,Glenn,44.0
1992-12-31,Imperial,53.0
1992-12-31,Kern,84.0
1992-12-31,Kings,38.0
1992-12-31,Lake,28.0
1992-12-31,Los Angeles,122.0
1992-12-31,Marin,32.0
1992-12-31,Mendocino,20.5
1992-12-31,Mono,44.0
1992-12-31,Monterey,38.0
1992-12-31,Orange,68.0
1992-12-31,Placer,47.0
1992-12-31,Riverside,105.0
1992-12-31,Sacramento,57.0
1992-12-31,San Benito,40.0
1992-12-31,San Bernardino,126.0
1992-12-31,San Diego,89.0
1992-12-31,San Francisco,32.5
1992-12-31,San Joaquin,47.0
1992-12-31,San Luis Obispo,42.0
1992-12-31,San Mateo,33.0
1992-12-31,Santa Barbara,63.5
1992-12-31,Santa Clara,47.0
1992-12-31,Santa Cruz,32.0
1992-12-31,Shasta,41.0
1992-12-31,Siskiyou,32.5
1992-12-31,Solano,37.0
1992-12-31,Sonoma,37.0
1992-12-31,Stanislaus,47.0
1992-12-31,Sutter,46.5
1992-12-31,Tulare,66.5
1992-12-31,Ventura,67.0
1992-12-31,Yolo,40.0
1993-12-31,Alameda,38.0
1993-12-31,Butte,38.0
1993-12-31,Colusa,37.0
1993-12-31,Contra Costa,43.0
1993-12-31,El Dorado,52.0
1993-12-31,Fresno,68.0
1993-12-31,Glenn,37.0
1993-12-31,Imperial,62.0
1993-12-31,Kern,89.0
1993-12-31,Kings,40.0
1993-12-31,Lake,29.0
1993-12-31,Los Angeles,108.0
1993-12-31,Marin,31.0
1993-12-31,Mendocino,28.0
1993-12-31,Mono,46.0
1993-12-31,Monterey,35.0
1993-12-31,Orange,67.0
1993-12-31,Placer,47.0
1993-12-31,Riverside,100.0
1993-12-31,Sacramento,49.0
1993-12-31,San Benito,42.0
1993-12-31,San Bernardino,119.0
1993-12-31,San Diego,80.0
1993-12-31,San Francisco,37.0
1993-12-31,San Joaquin,46.0
1993-12-31,San Luis Obispo,40.0
1993-12-31,San Mateo,32.0
1993-12-31,Santa Barbara,54.0
1993-12-31,Santa Clara,44.0
1993-12-31,Santa Cruz,31.0
1993-12-31,Shasta,39.0
1993-12-31,Siskiyou,30.0
1993-12-31,Solano,38.0
1993-12-31,Sonoma,37.0
1993-12-31,Stanislaus,47.0
1993-12-31,Sutter,43.0
1993-12-31,Tulare,67.0
1993-12-31,Ventura,64.0
1993-12-31,Yolo,38.0
1994-12-31,Alameda,39.0
1994-12-31,Butte,45.0
1994-12-31,Colusa,43.0
1994-12-31,Contra Costa,41.0
1994-12-31,El Dorado,58.0
1994-12-31,Fresno,64.0
1994-12-31,Glenn,40.0
1994-12-31,Imperial,87.0
1994-12-31,Kern,81.0
1994-12-31,Kings,47.0
1994-12-31,Lake,39.0
1994-12-31,Los Angeles,107.0
1994-12-31,Marin,31.0
1994-12-31,Mendocino,31.0
1994-12-31,Mono,44.0
1994-12-31,Monterey,35.0
1994-12-31,Orange,66.0
1994-12-31,Placer,50.0
1994-12-31,Riverside,97.0
1994-12-31,Sacramento,54.0
1994-12-31,San Benito,42.0
1994-12-31,San Bernardino,108.0
1994-12-31,San Diego,79.0
1994-12-31,San Francisco,33.0
1994-12-31,San Joaquin,46.0
1994-12-31,San Luis Obispo,43.0
1994-12-31,San Mateo,33.0
1994-12-31,Santa Barbara,64.0
1994-12-31,Santa Clara,44.0
1994-12-31,Santa Cruz,35.0
1994-12-31,Shasta,43.0
1994-12-31,Siskiyou,35.0
1994-12-31,Solano,36.0
1994-12-31,Sonoma,37.0
1994-12-31,Stanislaus,47.0
1994-12-31,Sutter,49.0
1994-12-31,Tulare,67.0
1994-12-31,Ventura,71.0
1994-12-31,Yolo,40.0
1995-12-31,Alameda,38.0
1995-12-31,Butte,39.0
1995-12-31,Colusa,40.0
1995-12-31,Contra Costa,39.0
1995-12-31,El Dorado,50.0
1995-12-31,Fresno,68.0
1995-12-31,Glenn,44.0
1995-12-31,Imperial,76.0
1995-12-31,Kern,86.0
1995-12-31,Kings,46.0
1995-12-31,Lake,28.0
1995-12-31,Los Angeles,107.0
1995-12-31,Marin,29.0
1995-12-31,Mendocino,31.0
1995-12-31,Mono,42.0
1995-12-31,Monterey,35.0
1995-12-31,Orange,61.0
1995-12-31,Placer,46.0
1995-12-31,Riverside,93.0
1995-12-31,Sacramento,50.0
1995-12-31,San Benito,41.5
1995-12-31,San Bernardino,103.0
1995-12-31,San Diego,77.0
1995-12-31,San Francisco,34.0
1995-12-31,San Joaquin,42.0
1995-12-31,San Luis Obispo,42.0
1995-12-31,San Mateo,35.0
1995-12-31,Santa Barbara,54.0
1995-12-31,Santa Clara,43.0
1995-12-31,Santa Cruz,36.0
1995-12-31,Shasta,43.0
1995-12-31,Siskiyou,30.0
1995-12-31,Solano,36.0
1995-12-31,Sonoma,37.0
1995-12-31,Stanislaus,46.0
1995-12-31,Sutter,44.0
1995-12-31,Tulare,74.0
1995-12-31,Ventura,67.0
1995-12-31,Yolo,37.0
1996-12-31,Alameda,40.0
1996-12-31,Butte,38.0
1996-12-31,Colusa,38.0
1996-12-31,Contra Costa,40.0
1996-12-31,El Dorado,49.0
1996-12-31,Fresno,61.0
1996-12-31,Glenn,40.0
1996-12-31,Imperial,74.0
1996-12-31,Kern,74.0
1996-12-31,Kings,67.0
1996-12-31,Lake,28.0
1996-12-31,Los Angeles,95.5
1996-12-31,Marin,31.0
1996-12-31,Mendocino,28.0
1996-12-31,Mono,42.0
1996-12-31,Monterey,39.0
1996-12-31,Orange,53.0
1996-12-31,Placer,44.0
1996-12-31,Riverside,87.0
1996-12-31,Sacramento,49.0
1996-12-31,San Benito,43.0
1996-12-31,San Bernardino,100.0
1996-12-31,San Diego,68.0
1996-12-31,San Francisco,35.0
